map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
024_544,1653880.987743,0.007000,0.494300,0.033300,7,0.500000,6.533200,0.466700,7,0.027600,0.021900,0.012700,0.013500,0.003900,0.013400,0.007800,1.110600,0.000800,-0.000800,0.001600,-0.004700,4.365500,0.311800,3.605300,4.365500,0.311800,5.830500,0.573800,0.588400,0.000000,5,6.901800,5,0.512200,0.342700,1.288100,2.099000,86,42,50,80,12
025_545,1475691.144734,0.007600,0.494300,0.025900,7,0.500000,6.637200,0.474100,7,0.020200,0.014500,0.002100,0.002300,0.000600,0.002000,0.002900,0.114600,-0.006400,-0.006800,0.000400,-0.005800,5.163300,0.368800,4.168300,5.163300,0.368800,4.531600,0.562900,0.575100,0.000000,5,7.409500,5,0.486700,0.353200,1.280500,2.071000,90,49,50,79,12
026_546,1462141.017805,0.007100,0.494300,0.021700,7,0.500000,6.696900,0.478300,7,0.015900,0.010200,-0.007700,-0.006900,-0.001400,-0.006900,-0.002000,-0.576300,-0.007300,-0.007600,0.000400,-0.007400,6.606800,0.471900,5.124500,6.606800,0.471900,3.786200,0.556700,0.568800,0.000000,5,8.273700,5,0.437300,0.322500,1.280600,2.056800,92,63,50,66,12
027_547,1493278.588852,0.006000,0.494300,0.056400,7,0.500000,6.209900,0.443600,6,0.050700,0.045000,0.029300,0.028400,0.005600,0.027900,0.006900,3.281400,0.005900,0.005300,0.000600,0.001200,6.340800,0.452900,4.749600,6.340800,0.452900,9.869500,0.570900,0.564300,0.000000,5,7.610600,5,0.489900,0.319900,1.278800,2.078800,75,60,50,76,12
028_548,1666632.975906,0.006500,0.494300,0.051700,7,0.500000,6.275800,0.448300,6,0.046000,0.040300,0.029600,0.028900,0.006900,0.028300,0.006400,2.844100,0.021300,0.019600,0.001700,-0.000800,4.837400,0.345500,3.868200,4.837400,0.345500,9.046600,0.579100,0.572300,0.704900,5,7.607000,5,0.489200,0.367200,1.300700,2.068100,77,46,57,82,10
029_549,1490660.400947,0.005000,0.494300,0.063600,7,0.500000,6.109200,0.436400,6,0.057900,0.052200,0.036900,0.035700,0.007000,0.035100,0.008100,3.892300,0.008900,0.008200,0.000800,0.002400,6.175100,0.441100,4.670800,6.175100,0.441100,11.127300,0.569800,0.563700,0.000000,5,8.219900,5,0.480300,0.338600,1.277000,1.991100,71,59,50,76,13
030_550,1485853.816121,0.009900,0.494300,0.010500,7,0.500000,6.853600,0.489500,8,0.004700,-0.001000,-0.014600,-0.013200,-0.003200,-0.013200,-0.002300,-1.478100,-0.014500,-0.014800,0.000300,-0.009400,5.397600,0.385500,4.389200,5.397600,0.385500,1.828600,0.554900,0.587300,0.000000,5,7.588100,5,0.504500,0.350400,1.297700,1.997000,98,51,50,82,10
031_551,1665190.966786,0.012300,0.494300,0.033600,7,0.500000,6.530200,0.466400,6,0.027800,0.022100,0.012900,0.012900,0.003500,0.012800,0.006000,1.935400,0.012300,0.011100,0.001200,-0.002200,4.656700,0.332600,3.610100,4.656700,0.332600,5.868400,0.599900,0.587000,0.000000,5,8.223600,5,0.485400,0.301300,1.297200,2.135500,86,44,50,72,10
032_553,1678091.222140,0.008000,0.494300,0.056000,7,0.500000,6.216400,0.444000,7,0.050300,0.044500,0.032600,0.032800,0.007800,0.032500,0.009900,3.506900,0.008300,0.007100,0.001300,0.001100,5.019100,0.358500,4.095200,5.019100,0.358500,9.788400,0.568100,0.582100,0.748800,5,8.120700,5,0.531700,0.353000,1.310500,2.112200,75,48,58,82,8
033_554,1496441.842429,0.010600,0.494300,0.023000,7,0.500000,6.677600,0.477000,7,0.017300,0.011600,-0.001900,-0.001200,-0.000300,-0.001400,-0.002200,-0.240400,-0.011600,-0.012000,0.000400,-0.006700,5.431700,0.388000,4.357900,5.431700,0.388000,4.026900,0.561500,0.573700,0.000000,5,8.104000,5,0.500400,0.370800,1.269100,1.993900,91,52,50,84,14
034_555,1475527.478176,0.010200,0.494300,0.056800,7,0.500000,6.205300,0.443200,6,0.051000,0.045300,0.035000,0.033800,0.007900,0.033100,0.008000,3.865700,0.013400,0.012800,0.000600,0.002700,4.904000,0.350300,3.803200,4.904000,0.350300,9.926700,0.578100,0.569600,0.000000,5,8.399200,5,0.475300,0.326400,1.290700,2.112900,74,47,50,74,11
